time,15cm,15cm_vel,20cm,20cm_vel,25cm,25cm_vel,30cm,30cm_vel,35cm,35cm_vel
7.55,-0.0454,0.344777778,-0.0692,0.354148148,-0.0898,0.388962963,-0.0996,0.496962963,-0.130266667,0.200592593
7.6,-0.025266667,0.408851852,-0.047333333,0.462148148,-0.065133333,0.53462963,-0.068733333,0.654407407,-0.1132,0.433407407
7.65,-0.002866667,0.431481481,-0.021133333,0.523333333,-0.034133333,0.624962963,-0.0314,0.743555556,-0.085,0.618777778
7.7,0.019533333,0.412148148,0.007066667,0.532296296,-6.67E-05,0.651222222,0.008533333,0.759,-0.048733333,0.73962963
7.75,0.04,0.351518519,0.0342,0.48837037,0.0336,0.612111111,0.047466667,0.69937037,-0.008133333,0.786925926
7.8,0.056066667,0.256148148,0.057866667,0.395518519,0.063466667,0.513777778,0.081333333,0.568814815,0.033066667,0.755925926
7.85,0.066666667,0.134703704,0.075333333,0.263074074,0.087,0.364888889,0.1066,0.381925926,0.070466667,0.649481481
7.9,0.070066667,0.000111111,0.085133333,0.106037037,0.101466667,0.178925926,0.120933333,0.159111111,0.100666667,0.477222222
7.95,0.0666,-0.132888889,0.0864,-0.061888889,0.105466667,-0.022407407,0.123066667,-0.077666667,0.120066667,0.257962963
8,0.0562,-0.25137037,0.0786,-0.221592593,0.099133333,-0.220851852,0.1128,-0.304962963,0.127333333,0.016333333
8.05,0.0404,-0.343148148,0.063266667,-0.357148148,0.082466667,-0.395888889,0.091266667,-0.49962963,0.121666667,-0.224518519
8.1,0.020466667,-0.399481481,0.041466667,-0.456481481,0.057733333,-0.526888889,0.060733333,-0.641888889,0.1038,-0.439
8.15,-0.0012,-0.414777778,0.015666667,-0.507777778,0.027666667,-0.604518519,0.024466667,-0.718814815,0.076066667,-0.609777778
8.2,-0.0226,-0.389703704,-0.011333333,-0.508222222,-0.005133333,-0.621185185,-0.014,-0.723740741,0.040333333,-0.718111111
8.25,-0.041666667,-0.32662963,-0.037066667,-0.459407407,-0.036933333,-0.575777778,-0.050733333,-0.657222222,0.001266667,-0.752259259
8.3,-0.0566,-0.230518519,-0.0592,-0.36337037,-0.065,-0.473,-0.082466667,-0.523074074,-0.037866667,-0.711259259
8.35,-0.065666667,-0.110888889,-0.074933333,-0.229814815,-0.086066667,-0.323888889,-0.105066667,-0.337925926,-0.072733333,-0.59837037
8.4,-0.068066667,0.018740741,-0.082866667,-0.077259259,-0.098666667,-0.143074074,-0.117466667,-0.121777778,-0.100066667,-0.426407407
8.45,-0.063733333,0.146481481,-0.083,0.083037037,-0.100933333,0.051222222,-0.117666667,0.104740741,-0.117,-0.21337037
8.5,-0.0528,0.258481481,-0.0742,0.234074074,-0.093133333,0.236481481,-0.106466667,0.318185185,-0.122133333,0.018222222
8.55,-0.036733333,0.342111111,-0.058533333,0.359333333,-0.076266667,0.396296296,-0.084533333,0.498666667,-0.115066667,0.246481481
8.6,-0.017133333,0.38962963,-0.036933333,0.449740741,-0.052,0.517185185,-0.054533333,0.627481481,-0.096333333,0.446518519
8.65,0.0038,0.397777778,-0.0116,0.492037037,-0.0224,0.584703704,-0.019333333,0.694,-0.068533333,0.599518519
8.7,0.024133333,0.367740741,0.014333333,0.483481481,0.008866667,0.592407407,0.017733333,0.689111111,-0.034,0.692074074
8.75,0.042,0.301777778,0.038533333,0.428703704,0.0392,0.540592593,0.0524,0.614111111,0.003533333,0.71362963
8.8,0.0556,0.204444444,0.058866667,0.331962963,0.065133333,0.433814815,0.081533333,0.478851852,0.0402,0.663962963
